Date,Team,Opponent,GoalsFor,GoalsAgainst,EloPre,EloPost,ExpWinProb,IsHome
2013-09-22,Man United,Man City,1.0,4.0,1794.624990950641,1784.4377016917326,0.5093644629454144,0
2013-09-28,Man United,West Brom,1.0,2.0,1784.4377016917326,1767.0423633671155,0.8697669162308562,1
2013-10-05,Man United,Sunderland,2.0,1.0,1767.0423633671155,1770.9535274091095,0.8044417979003,0
2013-10-19,Man United,Southampton,1.0,1.0,1770.9535274091095,1764.0725257924623,0.8440500808323583,1
2013-10-26,Man United,Stoke,3.0,2.0,1764.0725257924623,1766.7924541470518,0.8640035822705274,1
2013-11-02,Man United,Fulham,3.0,1.0,1766.7924541470518,1771.776836810062,0.7507808668494936,0
2013-11-10,Man United,Arsenal,1.0,0.0,1771.776836810062,1779.1232876632848,0.6326774573388567,1
2013-11-24,Man United,Cardiff,2.0,2.0,1779.1232876632848,1773.5931605278063,0.7765063567739316,0
2013-12-01,Man United,Tottenham,2.0,2.0,1773.5931605278063,1772.5204626912691,0.5536348918268548,0
2013-12-04,Man United,Everton,0.0,1.0,1772.5204626912691,1758.0244681746049,0.7247997258332176,1
2013-12-07,Man United,Newcastle,0.0,1.0,1758.0244681746049,1741.7310252773464,0.8146721448629256,1
2013-12-15,Man United,Aston Villa,3.0,0.0,1741.7310252773464,1747.6773098430403,0.702685771715297,0
2013-12-21,Man United,West Ham,3.0,1.0,1747.6773098430403,1750.3145015546525,0.868140414419394,1
2013-12-26,Man United,Hull,3.0,2.0,1750.3145015546525,1754.516594469426,0.7898953542613184,0
2013-12-28,Man United,Norwich,1.0,0.0,1754.516594469426,1759.4559542920445,0.7530320088690806,0
2014-01-01,Man United,Tottenham,1.0,2.0,1759.4559542920445,1745.7124644530747,0.6871744919484799,1
2014-01-11,Man United,Swansea,2.0,0.0,1745.7124644530747,1748.9310641358506,0.8390700158611994,1
2014-01-19,Man United,Chelsea,1.0,3.0,1748.9310641358506,1740.3882294023995,0.4271417366725556,0
2014-01-28,Man United,Cardiff,2.0,0.0,1740.3882294023995,1742.9558754786806,0.8716176961859428,1
2014-02-01,Man United,Stoke,1.0,2.0,1742.9558754786806,1727.9154507717165,0.7520212353482013,0
